,V1,V2,V3,Total Parameters
1,No_of_People,Permanent_Residents,0.968593252,Property_Area_sqft
2,No_of_People,Adults_14_to_60,0.854707362,No_of_Floors
3,Adults_14_to_60,Permanent_Residents,0.781360911,Ceiling_Height_ft
4,No_of_ACs,No_of_Fans,0.765622523,Ceiling_Insulation
5,Total_No_of_Rooms,No_of_Fans,0.697007319,Total_No_of_Rooms
6,No_of_Fans,No_of_Lighting_Devices,0.590097186,Connection_Type
7,Total_No_of_Rooms,No_of_ACs,0.559876935,No_of_People
8,Adults_14_to_60,Temporary_Residents,0.557684376,Adults_14_to_60
9,Total_No_of_Rooms,No_of_People,0.541363868,Children_0_to_13
10,Total_No_of_Rooms,Seniors,0.534868124,Seniors
11,Total_No_of_Rooms,Permanent_Residents,0.522751858,Permanent_Residents
12,Children_0_to_13,Permanent_Residents,0.519676344,Temporary_Residents
13,No_of_Refrigerators,No_of_UPS,0.495163304,No_of_ACs
14,Ceiling_Insulation,No_of_Fans,0.488214795,No_of_Refrigerators
15,No_of_People,Temporary_Residents,0.482534914,No_of_WashingMachines
16,Total_No_of_Rooms,No_of_Refrigerators,0.480754777,No_of_Electronic_Devices
17,No_of_People,Children_0_to_13,0.455629581,No_of_Fans
18,Property_Area_sqft,No_of_Fans,0.450810075,No_of_Water_Dispensers
19,Seniors,No_of_ACs,0.448756796,No_of._Water_Pumps
20,Total_No_of_Rooms,Adults_14_to_60,0.448118481,No_of_Electric_Heaters
21,No_of_ACs,No_of_Refrigerators,0.438966844,No_of_Irons
22,No_of_Refrigerators,No_of_Fans,0.437919956,No_of_Lighting_Devices
23,No_of_Floors,No_of_Irons,0.437825997,No_of_UPS
24,Seniors,No_of_Fans,0.430383498,
25,Total_No_of_Rooms,No_of_Lighting_Devices,0.428617052,
26,Total_No_of_Rooms,Temporary_Residents,0.427561856,
27,Seniors,Permanent_Residents,0.427117358,
28,No_of_Fans,No_of_Water_Dispensers,0.408252792,
29,Property_Area_sqft,No_of_ACs,0.4073734,
30,No_of_People,Seniors,0.405321262,
31,No_of_ACs,No_of_UPS,0.403759961,
32,No_of_ACs,No_of._Water_Pumps,0.40326673,
33,No_of_ACs,No_of_Lighting_Devices,0.401104255,
34,Ceiling_Insulation,No_of_ACs,0.401062528,
